,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dense_neurons,param_dropout,param_epochs,param_filters,param_layout,param_pooling,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
16,235.68807784716287,1.5541026984160926,2.015821695327759,0.025480508528810217,64,0.1,10,32,2*3x3,,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 32, 'layout': '2*3x3', 'pooling': None}",0.9453060215871003,0.9681706877898623,0.9689761055273541,0.9608176049681055,0.010973273248287573,4
17,236.26020622253418,1.2605052076081862,1.9857271512349446,0.050048719445721125,64,0.1,10,32,2*3x3,1,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 32, 'layout': '2*3x3', 'pooling': 1}",0.9522564338485994,0.9558123789660321,0.9664064286464613,0.9581584138203643,0.006010185679227445,7
18,25.128825505574543,3.3178308319118672,0.7991592884063721,0.19118120559657145,64,0.5,10,8,3x3,,"{'dense_neurons': 64, 'dropout': 0.5, 'epochs': 10, 'filters': 8, 'layout': '3x3', 'pooling': None}",0.907015788913982,0.8256856202974016,0.8562431823972576,0.8629815305362136,0.03354303786214246,69
19,28.630362113316853,2.1572819029681582,0.6907533804575602,0.08497644754150137,64,0.5,10,8,3x3,1,"{'dense_neurons': 64, 'dropout': 0.5, 'epochs': 10, 'filters': 8, 'layout': '3x3', 'pooling': 1}",0.91480646936881,0.8927810828307003,0.8614897473304014,0.8896924331766373,0.02187575567829053,62
20,45.33049941062927,0.9689176656867493,0.7923573652903239,0.051172986098903715,64,0.5,10,8,5x5,,"{'dense_neurons': 64, 'dropout': 0.5, 'epochs': 10, 'filters': 8, 'layout': '5x5', 'pooling': None}",0.81327665177833,0.9486361515277897,0.931262598428995,0.8977251339117048,0.06013384896929163,58
21,44.17642855644226,4.276594331057134,0.7604829470316569,0.024142219337858515,64,0.5,10,8,5x5,1,"{'dense_neurons': 64, 'dropout': 0.5, 'epochs': 10, 'filters': 8, 'layout': '5x5', 'pooling': 1}",0.8103141128808313,0.8762236924120247,0.9160606879254934,0.8675328310727831,0.04360606102009621,68
22,55.544613679250084,1.2185408094721064,1.0078128973642986,0.06634614296926986,64,0.5,10,8,2*3x3,,"{'dense_neurons': 64, 'dropout': 0.5, 'epochs': 10, 'filters': 8, 'layout': '2*3x3', 'pooling': None}",0.9474201423136337,0.9559638761831815,0.9390530893370634,0.9474790359446262,0.006903925418848718,13
23,58.67339245478312,0.43536064359211607,1.0050362745920818,0.014126757822723365,64,0.5,10,8,2*3x3,1,"{'dense_neurons': 64, 'dropout': 0.5, 'epochs': 10, 'filters': 8, 'layout': '2*3x3', 'pooling': 1}",0.9218042851100616,0.9221566698713483,0.9321841787527202,0.92538171124471,0.004812221725505958,31
24,34.339921633402504,1.4897065216234606,0.8258380095163981,0.020163117662482254,64,0.5,10,16,3x3,,"{'dense_neurons': 64, 'dropout': 0.5, 'epochs': 10, 'filters': 16, 'layout': '3x3', 'pooling': None}",0.8428299081549238,0.8897003068197441,0.9369917332851251,0.889840649419931,0.03844153222749863,61
25,35.30641841888428,1.486623633407025,0.7850314776102701,0.024134455919970994,64,0.5,10,16,3x3,1,"{'dense_neurons': 64, 'dropout': 0.5, 'epochs': 10, 'filters': 16, 'layout': '3x3', 'pooling': 1}",0.921138728959894,0.8392892805107642,0.8604767945959735,0.8736349346888771,0.034686073486680014,67
